사업장명,업종구분대분류,업종구분소분류,도로명전체주소
아르크팬케이크하우스,일반음식점,경양식,"제주특별자치도 제주시 과원로 128, 1층 112,113,114,115,116호 (연동)"
블루라라,일반음식점,경양식,"제주특별자치도 제주시 원노형로 36, 2층 (노형동, 영보아파트)"
박가먹세,일반음식점,한식,"제주특별자치도 제주시 조천읍 신북로 167, 1층"
삼다스크린골프,일반음식점,분식,"제주특별자치도 제주시 선반로6길 18, 1층 (화북일동)"
리치호텔식당,일반음식점,한식,"제주특별자치도 제주시 애월읍 고내로13길 100, 1층"
성지오름에스프레소바,일반음식점,기타,"제주특별자치도 제주시 성지로 62-1, 1층 (일도이동)"
영재가순대국밥,일반음식점,한식,"제주특별자치도 제주시 조천읍 신조로 39, 1층"
양은냄비,일반음식점,한식,"제주특별자치도 제주시 중앙로14길 25, 1층 (삼도이동)"
해제,일반음식점,감성주점,"제주특별자치도 제주시 조천읍 신북로 475, 2층"
정돈,일반음식점,한식,"제주특별자치도 제주시 중앙로11길 1, 제1호 2층 (이도일동)"
스가타,일반음식점,일식,"제주특별자치도 제주시 연화로2길 29-12, 1층 (연동)"
놀당가게,일반음식점,한식,"제주특별자치도 제주시 신산로 11, 2층 (일도이동)"
평민닭발연동점,일반음식점,한식,"제주특별자치도 제주시 성신로1길 21, 1층 (연동)"
카페봄봄한경점,일반음식점,기타,"제주특별자치도 제주시 한경면 두신로 118, 1층"
토쿠베츠,일반음식점,일식,"제주특별자치도 제주시 오복4길 5, 1층 (이도이동, 우일빌라)"
셀프자율식당,일반음식점,한식,"제주특별자치도 제주시 월광로 135, 1층 (노형동)"
품육신제주점,일반음식점,한식,"제주특별자치도 제주시 월랑로 67, 효산빌딩 1층 (노형동)"
테이스트인,일반음식점,경양식,"제주특별자치도 제주시 박성내서길 14, 1층 (이도이동)"
원짬뽕,일반음식점,중국식,"제주특별자치도 제주시 인다7길 6, 1층 (아라일동)"
피자가게,일반음식점,기타,"제주특별자치도 제주시 충효길 39, 1층 (삼도일동)"
해녀의정원,일반음식점,한식,"제주특별자치도 제주시 애월읍 가문동길 47, 1층"
군산소문난해물칼국수,일반음식점,한식,"제주특별자치도 제주시 천수로 16, 1층 (이도이동)"
도란,일반음식점,한식,"제주특별자치도 제주시 서흘길 34, 1층 (삼양일동)"
산라한,일반음식점,한식,"제주특별자치도 제주시 북성로 4, 1층 (삼도이동)"
째즈도,일반음식점,감성주점,"제주특별자치도 제주시 만덕로6길 31, 지1층 (일도일동)"
몽탄제주점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 구좌읍 동복로 83, 1층"
친구사이포차,일반음식점,정종/대포집/소주방,"제주특별자치도 제주시 중앙로 178-1, 1층 (이도일동)"
드렁큰피자,일반음식점,기타,"제주특별자치도 제주시 중앙로 88-6, 1층 (이도일동)"
또와제주,일반음식점,한식,"제주특별자치도 제주시 서천길 14, 1층 (용담이동)"
요리하는점빵,일반음식점,한식,"제주특별자치도 제주시 건주로4길 6-1, 1층 101호 (도련일동)"
제주어른이집,일반음식점,호프/통닭,"제주특별자치도 제주시 구좌읍 김녕로4길 30, 2층"
산지물고유,일반음식점,일식,"제주특별자치도 제주시 애월읍 애월북서길 60, 에이동 1층"
위켄드밀즈,일반음식점,일식,"제주특별자치도 제주시 애월읍 곽지8길 3-2, 1층"
캐나다삼춘,일반음식점,경양식,"제주특별자치도 제주시 구좌읍 송당1길 26, 1층"
베리코코,일반음식점,기타,"제주특별자치도 제주시 삼무로11길 9, 지하1층 B103호 (연동, 남해오네뜨)"
트레블러카페와투어,일반음식점,기타,"제주특별자치도 제주시 기와4길 42, 2동 2~3층 (영평동)"
샬롱마농,일반음식점,호프/통닭,"제주특별자치도 제주시 서사로12길 5, 1층 (삼도일동)"
마핑고,일반음식점,분식,"제주특별자치도 제주시 이도공원길 42, 1층 (이도이동)"
밤에이야기,일반음식점,한식,"제주특별자치도 제주시 연화로4길 24, 1층 (연동)"
공육사하이픈,일반음식점,감성주점,"제주특별자치도 제주시 연동7길 22, 지하1층 (연동)"
함덕고등어쌈밥,일반음식점,한식,"제주특별자치도 제주시 조천읍 조함해안로 530, 3층"
카츠쿠,일반음식점,일식,"제주특별자치도 제주시 노형11길 16, 2층 (노형동)"
돈삼겹노형점,일반음식점,한식,"제주특별자치도 제주시 연동6길 28, 1층 (연동, 영일빌라)"
제주으뜸흑돼지,일반음식점,한식,"제주특별자치도 제주시 동한두기길 23, 2층 (용담일동)"
제주오감,일반음식점,한식,"제주특별자치도 제주시 서해안로 60, 1층 (이호일동)"
오늘도한잔해,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 신산로15길 53, 1층 (일도이동)"
해화탕,일반음식점,기타,"제주특별자치도 제주시 한림읍 일주서로 5855, 1층"
술한잔,일반음식점,한식,"제주특별자치도 제주시 구좌읍 세화1길 32, 나동 1층"
볼튼라운지펍,일반음식점,기타,"제주특별자치도 제주시 신성로13길 13, 4층 (이도이동)"
팡포차,일반음식점,한식,"제주특별자치도 제주시 남성로 39, 1층 (용담일동)"
팔오상회본점,일반음식점,한식,"제주특별자치도 제주시 광양6길 10, 1층 (이도일동)"
자작제주혼술바,일반음식점,기타,"제주특별자치도 제주시 노연로 103, 1층 105호 (연동, 제주연동리슈빌디에스)"
인희네국수,일반음식점,한식,"제주특별자치도 제주시 중앙로 87, 1층 (이도일동)"
연삼동,일반음식점,일식,"제주특별자치도 제주시 연삼로 412, 1층 (이도이동)"
타코봉,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 원노형남1길 45, 1층 (노형동)"
리스치킨,일반음식점,호프/통닭,"제주특별자치도 제주시 노연로 103, 1층 106호 (연동, 제주연동리슈빌디에스)"
후우,일반음식점,경양식,"제주특별자치도 제주시 한경면 칠전로 145, 제1호"
디아로재,일반음식점,한식,"제주특별자치도 제주시 연북로 245, 1층 (오라이동)"
제주정낭집아라점,일반음식점,한식,"제주특별자치도 제주시 인다2길 8, 1층 (아라일동)"
73스테이크,일반음식점,한식,"제주특별자치도 제주시 산지로 25, 1층 (건입동)"
제주르방,일반음식점,경양식,"제주특별자치도 제주시 한림읍 명월로2길 35-1, 1층"
제주담백,일반음식점,한식,"제주특별자치도 제주시 조천읍 함덕19길 9, 3층 302호"
신조,일반음식점,일식,"제주특별자치도 제주시 우정로5길 4, 1층 (외도일동)"
해녀고깃간,일반음식점,한식,"제주특별자치도 제주시 한림읍 금능길 41-1, 1,2층"
조은기록,일반음식점,기타,"제주특별자치도 제주시 한림읍 대림10길 76-3, 1층"
온스,일반음식점,호프/통닭,"제주특별자치도 제주시 화삼북로 143, 1층 (삼양이동)"
은비네집밥,일반음식점,한식,"제주특별자치도 제주시 오광로 112, 1층 102호 (이호이동)"
쪼꼬뜨레제주일도점,일반음식점,기타,"제주특별자치도 제주시 태성중2길 33, 1층 (일도이동)"
살레안국수,일반음식점,한식,"제주특별자치도 제주시 애월읍 고내로 21, 1층"
킹스홀덤펍,일반음식점,기타,"제주특별자치도 제주시 서광로32길 16, 3층 (이도이동)"
우리아시가게,일반음식점,한식,"제주특별자치도 제주시 연동10길 7, 1층 (연동)"
오기방,일반음식점,기타,제주특별자치도 제주시 한경면 대한로 860-35
와흘새가름,일반음식점,한식,"제주특별자치도 제주시 조천읍 와흘남길 2, 1층"
무지개카페,일반음식점,기타,"제주특별자치도 제주시 도두항길 22-2, 선명 카이사르 100 선박1층 (도두일동)"
솥마루,일반음식점,한식,"제주특별자치도 제주시 연북로 221, 1층 (오라이동)"
소소돈,일반음식점,한식,"제주특별자치도 제주시 우령2길 29-5, 103호 (외도일동, 오페라하우스)"
012야키토리,일반음식점,기타,"제주특별자치도 제주시 삼성로 129, 1층 (일도이동)"
잇지제주,일반음식점,한식,"제주특별자치도 제주시 아란14길 2-5, 1층 (아라일동)"
오믈락,일반음식점,기타,"제주특별자치도 제주시 서해안로 42, 1층 (이호일동)"
라온섹소폰스토리,일반음식점,호프/통닭,"제주특별자치도 제주시 한경면 용금로 998, 2층"
유시,일반음식점,일식,"제주특별자치도 제주시 구남동4길 59, 1층 (아라일동)"
황금알포차,일반음식점,한식,"제주특별자치도 제주시 도두항서7길 2, 1층 (도두일동)"
돈앤바당,일반음식점,식육(숯불구이),"제주특별자치도 제주시 월광로 144, 1층 (노형동)"
339빠,일반음식점,기타,"제주특별자치도 제주시 일주서로 7345, 2층 (외도이동)"
다하연노형점,일반음식점,한식,"제주특별자치도 제주시 노형3길 3, 1층 (노형동)"
제주슈퍼1963,일반음식점,한식,"제주특별자치도 제주시 서문로 11-1, 1층 (용담일동)"
오마오,일반음식점,한식,"제주특별자치도 제주시 서광로32길 27-3, 1층 (이도이동)"
산지물든,일반음식점,경양식,"제주특별자치도 제주시 산지로 17, 나동 부속1건물 1층 (건입동)"
선흘마당,일반음식점,한식,"제주특별자치도 제주시 조천읍 선교로 371-8, 2층"
뚱보네급식실,일반음식점,한식,"제주특별자치도 제주시 남광로 72, 1층 (이도이동)"
타바코,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 한경면 판포1길 7-3, 2동 1층"
놀놀,일반음식점,한식,"제주특별자치도 제주시 구좌읍 비자림로 2228, A동 1층"
영의공간,일반음식점,기타,"제주특별자치도 제주시 달마루길 12, 세창빌딩 1층 (노형동)"
올데이피자서비스제주월정점,일반음식점,경양식,"제주특별자치도 제주시 구좌읍 해맞이해안로 460, 1층"
황금닭갈비장칼국수삼화점,일반음식점,한식,"제주특별자치도 제주시 화삼북로 56, 2층 (도련일동)"
명도암해장국,일반음식점,한식,"제주특별자치도 제주시 명림로 4, 1층 (봉개동)"
새벽이네혼밥김치찌개,일반음식점,한식,"제주특별자치도 제주시 한경면 일주서로 4472, 1층"
탐나는면,일반음식점,한식,"제주특별자치도 제주시 연화로4길 31, 1층 (연동)"
상구맥주제주본점,일반음식점,호프/통닭,"제주특별자치도 제주시 아란9길 22, 105호 (아라일동, 제주아라 KCC스위첸)"
장도감족발,일반음식점,한식,"제주특별자치도 제주시 우정로18길 11, 1층 (외도일동)"
김복남맥주삼화점,일반음식점,한식,"제주특별자치도 제주시 화삼북로 143, 1층 (삼양이동)"
하륜일만족발,일반음식점,한식,"제주특별자치도 제주시 일주동로 254, 1층 (화북일동)"
적점,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 산지로 17, 나동 1층 (건입동)"
천수국수,일반음식점,한식,"제주특별자치도 제주시 고마로 134, 동흥빌딩 1층 (이도이동)"
버킹업외도2호점,일반음식점,분식,"제주특별자치도 제주시 우정로15길 1, 1층 103호 (외도일동, 대원상록수11차아파트)"
모렐로제주,일반음식점,경양식,"제주특별자치도 제주시 전농로 34, 1층 (삼도일동)"
빅포인트,일반음식점,기타,"제주특별자치도 제주시 연동9길 26, 1층 (연동)"
부명,일반음식점,한식,"제주특별자치도 제주시 남광로 79-1, 1층 (이도이동)"
데무,일반음식점,감성주점,"제주특별자치도 제주시 용담로 29, 1층 (용담삼동)"
요제부,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 구남동2길 22, 1층 (이도이동)"
비자블라썸시즌2,일반음식점,일식,"제주특별자치도 제주시 구좌읍 비자림로 2244, 1층"
루프탑킹스,일반음식점,경양식,"제주특별자치도 제주시 연동7길 38, 6층 (연동)"
담삭,일반음식점,한식,"제주특별자치도 제주시 조천읍 평사길 7, 4층"
굽네치킨애월,일반음식점,한식,"제주특별자치도 제주시 애월읍 고내로11길 30, 2층"
아담,일반음식점,기타,"제주특별자치도 제주시 노연로 103, 1층 103호 (연동, 제주연동리슈빌디에스)"
루씨비어,일반음식점,호프/통닭,"제주특별자치도 제주시 중앙로21길 10, 2층 (이도일동)"
명작숯불닭갈비,일반음식점,한식,"제주특별자치도 제주시 노형5길 44, 1층 (노형동)"
라피에스타,일반음식점,패밀리레스트랑,"제주특별자치도 제주시 오등14길 24-4, 1층 (오등동)"
우도루,일반음식점,중국식,"제주특별자치도 제주시 우도면 우도해안길 1032, 1층"
애월항커피사무소,일반음식점,기타,"제주특별자치도 제주시 애월읍 애월해안로 56, 1층"
교래소반,일반음식점,한식,"제주특별자치도 제주시 조천읍 비자림로 685-10, 1층"
휴게소신제주점,일반음식점,한식,"제주특별자치도 제주시 원노형6길 28, 1층 101호 (노형동)"
전통해장국,일반음식점,한식,"제주특별자치도 제주시 남성로2길 5, 1층 (용담일동)"
미하이,일반음식점,감성주점,"제주특별자치도 제주시 원노형8길 18, 1층 (노형동)"
후라이드의품격제주점,일반음식점,호프/통닭,"제주특별자치도 제주시 연삼로 436, 1층 101호 (이도이동, 하늘그린5차)"
이제,일반음식점,기타,"제주특별자치도 제주시 한경면 중산간서로 3536, 1층"
